,Date-Time,Grade,CO Flow_mean,CO Flow_std,Process Air Flow_mean,Process Air Flow_std,NG Flow_mean,NG Flow_std,Conversion Oil Temp_mean,Conversion Oil Temp_std,Process Air Temp_mean,Process Air Temp_std,CO Nozzle Pressure_mean,CO Nozzle Pressure_std,Reactor Pressure_mean,Reactor Pressure_std,Coverage Area_mean,Coverage Area_std
0,2025-09-16T14:00:00.000,N375,2625.918741712475,51.837483424950086,7657.682638713515,533.7956489817961,417.33445078408374,23.821102619003796,178.60590810465132,0.05234081641019321,823.0190503071376,2.314555158899772,18.518671061336427,1.6743229840639753,0.24713684478906905,0.030668011066767534,76.78934523809524,0.5617510798380095
1,2025-09-16T15:00:00.000,N375,3884.738211861471,330.52357627705794,9982.041635610833,568.514414108931,570.6448112803141,18.78961391566381,182.81701424179076,2.275481286567576,830.5807306793213,2.907292287825835,15.939639844051996,1.8037274770333551,0.4543579192784627,0.022653841511259834,78.72383333333333,1.4835032986269476
2,2025-09-16T16:00:00.000,N375,4050,0,10444.257970973673,13.384616776061161,579.104909455363,0.9186895246881752,185.32831121037802,0.3889637402538234,840.5285527720133,4.187095519989125,16.67660138276418,0.045445837334082584,0.4631460868326823,0.0014723230404773493,81.19083333333333,0.6418852730073441
3,2025-09-16T17:00:00.000,N375,4050,0,10392.938761378595,18.950473627246563,574.7328493876139,0.6799019826153083,185.7017216682434,0.13709381783626118,849.5874444396973,1.0960300106009773,16.71076411069234,0.007622944489530552,0.4608359811101278,0.0014057010260876289,82.054,0.16775643720054836
4,2025-09-16T18:00:00.000,N375,4050,0,10353.314910753703,10.028869377190395,575.6607335896811,0.6650655479416772,185.892858026886,0.06174394962751165,855.0564139811198,2.025135471114287,16.59553999818166,0.10867970915177284,0.46055124242299394,0.0007361256654777328,83.6925,0.13617676421147856
5,2025-09-16T19:00:00.000,N375,4050,0,10324.617414137492,9.528249450837686,574.0492043406168,1.5167459454856835,185.82313364054363,0.21441225434326086,858.951997253418,1.5269894185516728,16.551663770135242,0.05246824091877763,0.4593986448679606,0.0012092298860889535,83.9305,0.07213644478810367
6,2025-09-16T20:00:00.000,N375,4053.395122948876,4.715664751504017,10299.005364539646,4.462777308753325,572.8771743377686,0.6848107163311312,185.9461090929667,0.06344347018530846,861.6574745351156,0.5651105789296356,16.319692999712625,0.040103612648671565,0.4587324890558878,0.0007813954147326727,83.97316666666666,0.07108133056967439
7,2025-09-16T21:00:00.000,N375,4074.9855586892336,9.802665545835959,10317.612607281317,17.680632219617458,574.5072922658285,1.312886113608136,186.067589805603,0.24901704466530367,863.4868488342286,0.6950350273705653,16.472995113341014,0.0762834868801733,0.4593433257019043,0.0013737783465084118,84.483,0.146487264014724
8,2025-09-16T22:00:00.000,N375,4080,0,10391.857416127157,20.937614541824953,576.5179526611328,1.4407971471315142,185.82395652008057,0.13460563554225322,866.3368498545328,0.9622904535421984,16.481950712394713,0.016632861109750215,0.4607693992436727,0.0012289750282455307,84.1235,0.1133625779262025
9,2025-09-16T23:00:00.000,N375,4080,0,10429.882411650091,6.251559151942098,579.7739755137125,0.800630483911184,185.45250180740356,0.10879035108934787,868.7865259877524,1.3374627449897483,16.47936475715637,0.004942030707797711,0.46376721584065755,0.000994860596825285,84.756,0.2550404470464063
10,2025-09-17T00:00:00.000,N375,4067.897788965136,14.528298569581482,10434.215317414835,0.7280716541944608,581.6987262786865,1.028464645379959,185.7340231488546,0.17519347118654385,872.9841164235432,0.6088799922319326,16.32273784189224,0.17417503616031738,0.4646245449376424,0.0007960155029388291,85.143,0.21142935077791417
11,2025-09-17T01:00:00.000,N375,4050,0,10444.421177897217,10.1729657502958,580.7573125325521,0.5121400557526566,185.76159803161622,0.14044371781690237,873.6116104573568,0.029496577297110912,16.168610506884256,0.048282456061293486,0.46244560819193525,0.0014689101293730647,84.594,0.5275138053310194
12,2025-09-17T02:00:00.000,N375,4050,0,10482.62360990846,7.533173776110402,580.9624477762859,0.4039911697871857,185.2763744913737,0.2500752380858665,874.2347102335611,0.05747345577515646,16.114864644209543,0.035902102916269094,0.46214279803619385,0.0009366424179708085,83.60966666666667,0.7326326956031014
13,2025-09-17T03:00:00.000,N375,4050,0,10466.081409892904,5.254106363479368,580.824233879598,0.555910409995928,185.27951195780435,0.15141732626837973,875.1539368194581,0.53068332480545,16.003116273880003,0.015179543280097053,0.46139926528828934,0.000577381876387877,83.80850000000001,0.24358700628242155
